name;latitude;longitude;zoom
Dinosaur;28.355255;-81.588303;50
Expedition Everest;28.358727;-81.58713339999997;50
Pirates Of Caribbean;28.4180309;-81.5842212;50
Splash Mountain;28.4191279;-81.58504719999996;50
Toy Story Mania;28.3560536;-81.56148639999998;50
Soarin;28.3738554;-81.55237599999998;50
Rock N Rollercoaster;28.3594815;-81.56100809999998;50
Spaceship Earth;28.37536729999999;-81.5495616;50
Kilimanjaro Safaris;28.359698;-81.59242410000002;50
Epcot;28.374694;-81.54940399999998;20
Magic Kingdom;28.418958;-81.58119599999998;20
Disney's Hollywood Studios;28.3575294;-81.55827140000002;20
Disney's Animal Kingdom;28.3530816;-81.59116699999998;20
All Theme Parks;28.385233;-81.563874;10
